DID	D	Informatiemodel	Enumeratie
93	Drainage/infiltratie transportstelsel	3	InfiltratiestelselVerschijningsvorm
94	Drainagegemaal	3	GemaalVerschijningsvorm
95	Drainputdeksel	3	DekselVerschijningsvorm
97	Driehoekig	4	DoorlaatVorm
98	Driehoekig	4	DekselVorm
99	Drinkwatermeter	3	DebietmeterVerschijningsvorm
100	Drukleiding	3	MechanischeRioolleidingVerschijningsvorm
101	Drukriolering	3	RioolstelselVerschijningsvorm
102	Drukrioleringspomp	3	PompVerschijningsvorm
103	DT-riool	3	VrijvervalRioolleidingVerschijningsvorm
104	Dubbele steekmof	3	FysiekObjectVerbindingstype
105	Dubbelkerende spindelschuif	3	MechanischeAfsluiterVerschijningsvorm
106	DWA gemaal	3	GemaalVerschijningsvorm
107	DWA perceelaansluitleiding	3	AansluitleidingVerschijningsvorm
108	DWA+HWA gemaal	3	GemaalVerschijningsvorm
109	Eén kanaal waaier	3	PompTypeWaaier
110	Eindpunt leiding	3	RioleringNodeVerschijningsvorm
111	Eindpunt onderdeel	3	RioleringNodeVerschijningsvorm
112	Eivormig	4	DekselVorm
113	Eivormig	4	DoorlaatVorm
114	Eivormig omgekeerd	4	DekselVorm
115	Eivormig omgekeerd	4	DoorlaatVorm
116	Elektrisch	3	AfsluiteraandrijvingTypeBediening
117	Elektro-mechanisch	3	AfsluiteraandrijvingTypeBediening
118	Enkelkerende spindelschuif	3	MechanischeAfsluiterVerschijningsvorm
119	Enkelloop	3	GemaalPompschakeling
120	Enkelloop	3	PompputPompschakeling
121	Erfafscheidingsput	3	AansluitputVerschijningsvorm
122	Eurocode (EC-norm)	4	ConstructieOrigineleBelastingklasse
123	Eurocode (geschikt voor al het wegverkeer)	4	ConstructieHerbeoordeeldeBelastingklasse
124	Exceptioneel transport	4	DuikerModaliteit
125	Explosievrije kolk	3	KolkVerschijningsvorm
126	Externe overstortconstructie	3	OverstortconstructieVerschijningsvorm
127	Externe overstortput	3	RioolputVerschijningsvorm
128	Fiets	4	DuikerModaliteit
